City,CityID,Country,Lat,Long,temp,humidity,cloudiness,wind speed
blagoyevo,576093,RU,63.37,47.92,34.74,93,100,4.5
qaanaaq,3831208,GL,77.48,-69.36,10.4,76,45,8.34
komsomolskiy,1513491,UZ,40.43,71.72,70.32,40,40,4.7
frontera,3980180,MX,26.93,-101.45,70.0,75,23,11.12
saint george,5546220,US,37.1,-113.58,57.13,62,40,12.75
barrow,5880054,US,71.29,-156.79,6.8,77,1,12.75
lagoa,3372964,PT,39.05,-27.98,60.51,76,75,13.2
sunnyside,5812604,US,46.32,-120.01,52.7,53,1,4.79
divnogorsk,1507379,RU,55.96,92.36,50.0,39,11,2.24
atuona,4020109,PF,-9.8,-139.03,82.02,75,72,14.94
shellbrook,6145951,CA,53.22,-106.4,37.4,69,75,14.99
vila franca do campo,3372472,PT,37.72,-25.43,59.0,82,40,8.05
aksarka,1512019,RU,66.56,67.8,33.71,98,98,2.17
oktyabrskoye,515805,RU,43.06,44.74,53.31,50,100,2.24
hasaki,2112802,JP,35.73,140.83,59.52,93,75,20.8
yar-sale,1486321,RU,66.83,70.83,34.86,99,100,8.23
punta arenas,3874787,CL,-53.15,-70.92,44.29,75,8,20.8
tuktoyaktuk,6170031,CA,69.45,-133.04,14.0,92,90,12.75
san patricio,3985168,MX,19.22,-104.7,75.11,60,80,6.76
marienburg,3092472,PL,54.04,19.03,39.9,100,51,5.95
hobart,2163355,AU,-42.88,147.33,54.14,50,75,8.05
saint-philippe,935215,RE,-21.36,55.77,77.38,69,40,21.92
castro,3466704,BR,-24.79,-50.01,49.32,66,77,3.78
bredasdorp,1015776,ZA,-34.53,20.04,50.0,87,67,4.7
ginir,336454,ET,7.13,40.7,67.01,46,86,2.46
puerto ayora,3652764,EC,-0.74,-90.35,75.99,92,73,4.7
airai,1651810,TL,-8.93,125.41,73.58,51,67,3.49
mar del plata,3430863,AR,-38.0,-57.56,58.14,87,0,6.93
hami,1529484,CN,42.8,93.45,72.09,16,41,1.63
bafata,2375255,GW,12.17,-14.75,75.7,29,66,6.11
mount pleasant,4588165,US,32.79,-79.86,66.56,93,40,5.82
jamestown,5122534,US,42.1,-79.24,31.75,92,90,6.93
upernavik,3418910,GL,72.79,-56.15,22.33,92,99,5.53
bambous virieux,1106677,MU,-20.34,57.76,81.72,74,40,17.22
soyo,2236967,AO,-6.13,12.37,78.33,87,99,4.5
trapani,2522875,IT,37.83,12.67,56.59,93,40,3.36
ryotsu,1853371,JP,38.08,138.43,51.8,93,90,5.82
torbay,6167817,CA,47.67,-52.73,27.82,79,20,6.93
ballina,2177069,AU,-28.87,153.57,75.49,73,75,3.36
conde,3385077,BR,-7.26,-34.91,75.2,100,1,2.24
katsuura,2112309,JP,35.13,140.3,63.7,77,90,23.04
pyapon,1299237,MM,16.28,95.68,98.76,22,0,6.22
padang,1633419,ID,-0.95,100.35,87.31,66,60,4.05
ushuaia,3833367,AR,-54.8,-68.3,50.0,78,20,10.29
jalu,86049,LY,29.03,21.55,65.35,46,0,4.85
ndjole,2397674,GA,-0.18,10.76,74.93,90,99,1.39
yellowknife,6185377,CA,62.46,-114.35,21.2,48,90,4.7
mastic beach,5126209,US,40.77,-72.85,42.15,87,90,12.57
svetlogorsk,10722858,BY,52.63,29.73,37.87,70,0,13.11
port blair,1259385,IN,11.67,92.75,84.09,70,32,2.73
tual,1623197,ID,-5.67,132.75,85.19,70,78,6.44
pemba,1028918,MZ,-12.97,40.52,84.2,83,75,12.75
laguna,5364271,US,38.42,-121.42,54.05,76,1,5.82
khatanga,2022572,RU,71.97,102.5,18.86,92,0,14.83
cayenne,3382160,GF,4.93,-52.33,75.2,100,90,5.08
dikson,1507390,RU,73.51,80.55,33.21,92,95,16.24
palmas bellas,3703523,PA,9.23,-80.09,78.01,72,7,1.99
port lincoln,2063036,AU,-34.73,135.87,64.98,60,54,12.41
porto novo,2392087,BJ,6.5,2.6,84.2,83,40,11.41
mossendjo,2256895,CG,-2.95,12.73,70.81,86,100,0.92
turbat,1163054,PK,26.0,63.04,89.1,23,32,4.97
husavik,2629833,IS,66.04,-17.34,44.6,56,0,36.91
port-gentil,2396518,GA,-0.72,8.78,77.0,100,20,3.36
tiarei,4033356,PF,-17.53,-149.33,82.18,74,20,3.36
zhezkazgan,1516589,KZ,47.8,67.71,69.8,23,3,15.66
galesong,1644605,ID,-5.32,119.37,91.4,70,20,9.17
hofn,2630299,IS,64.25,-15.21,42.53,81,100,9.89
houma,4328010,US,29.6,-90.72,73.09,94,75,4.7
dong xoai,1582436,VN,11.53,106.92,90.81,56,95,3.83
tiksi,2015306,RU,71.69,128.87,11.8,93,100,6.67
redmond,5808079,US,47.67,-122.12,53.94,61,98,0.92
cabo san lucas,3985710,MX,22.89,-109.91,67.66,71,14,11.01
richards bay,962367,ZA,-28.78,32.04,70.45,76,0,6.71
new norfolk,2155415,AU,-42.78,147.06,52.25,74,89,4.0
tasiilaq,3424607,GL,65.61,-37.64,33.8,69,86,8.05
east london,1006984,ZA,-33.02,27.91,68.0,88,40,5.82
norsup,2135517,VU,-16.07,167.38,78.8,88,75,9.89
bauchi,2347468,NG,10.5,10.0,74.46,14,30,3.76
angoche,1052944,MZ,-16.23,39.91,81.97,75,0,6.76
gizo,2108857,SB,-8.1,156.84,83.28,75,60,7.07
mount isa,2065594,AU,-20.73,139.5,96.8,15,17,12.75
souillac,933995,MU,-20.52,57.52,81.7,74,40,17.22
chuy,3443061,UY,-33.7,-53.46,59.77,84,1,4.79
nanortalik,3421765,GL,60.14,-45.24,27.68,92,100,12.8
trelew,3833883,AR,-43.25,-65.31,73.47,47,77,13.47
mataura,6201424,NZ,-46.19,168.86,52.0,73,35,1.01
bonthe,2409914,SL,7.53,-12.51,79.03,84,100,6.22
ponta do sol,2264557,PT,32.67,-17.1,54.1,65,11,5.01
mitsamiouli,921786,KM,-11.38,43.28,86.0,66,20,6.93
mahon,2514301,ES,39.89,4.27,60.8,93,20,9.17
quebo,2370473,GW,11.33,-14.93,76.91,34,61,4.07
deputatskiy,2028164,RU,69.3,139.9,-0.49,83,5,2.68
omboue,2396853,GA,-1.57,9.26,77.02,91,100,7.02
novopokrovka,699328,UA,49.84,36.55,45.73,54,75,13.42
butaritari,2110227,KI,3.07,172.79,82.99,79,90,16.58
tukrah,88834,LY,32.53,20.58,59.27,72,4,6.11
sitka,5557293,US,57.05,-135.33,44.31,87,40,4.7
pandamatenga,933178,BW,-18.53,25.63,71.92,46,17,12.86
oranjemund,3354071,NA,-28.55,16.43,57.81,89,31,4.03
alice springs,2077895,AU,-23.7,133.88,86.0,23,3,8.05
ancud,3899695,CL,-41.87,-73.82,55.4,100,90,6.93
ketchikan,5554428,US,55.34,-131.65,47.12,93,1,8.05
mackay,2159220,AU,-21.15,149.2,83.19,70,75,10.29
safaga,358620,EG,26.73,33.94,71.6,46,98,14.99
coihueco,3894406,CL,-36.62,-71.83,53.6,100,44,2.24
mahebourg,934322,MU,-20.41,57.7,81.54,74,40,17.22
kaitangata,2208248,NZ,-46.28,169.85,52.84,85,76,8.01
novyy urengoy,1496511,RU,66.08,76.63,36.34,98,100,18.05
vaini,4032243,TO,-21.2,-175.2,77.0,78,40,8.05
hermanus,3366880,ZA,-34.42,19.23,59.0,70,44,1.01
kapaa,5848280,US,22.08,-159.32,74.26,73,40,11.41
thompson,6165406,CA,55.74,-97.86,17.6,85,90,18.34
chokurdakh,2126123,RU,70.63,147.92,-3.41,91,39,5.14
yumbe,225835,UG,3.47,31.25,69.48,68,100,6.29
bethel,5282297,US,41.37,-73.41,35.33,93,90,3.36
santa margherita ligure,3167595,IT,44.33,9.21,53.98,67,68,4.59
faya,110690,SA,18.39,42.45,68.9,60,6,11.41
necochea,3430443,AR,-38.55,-58.74,56.08,88,1,11.01
wajima,1848976,JP,37.4,136.9,53.6,87,40,11.41
estevan,5949568,CA,49.13,-102.98,41.54,75,20,14.99
rocha,3440777,UY,-34.48,-54.33,55.74,91,0,4.47
mana,3381041,GF,5.66,-53.78,77.41,89,87,7.56
bitam,2401578,GA,2.08,11.5,70.54,82,100,1.57
atbasar,1526038,KZ,51.8,68.33,60.28,40,95,13.44
takestan,113491,IR,36.07,49.7,60.8,59,3,4.7
kidal,2455290,ML,18.44,1.41,79.74,15,16,5.57
avarua,4035715,CK,-21.21,-159.78,77.0,78,5,3.36
ilulissat,3423146,GL,69.22,-51.1,26.6,86,100,5.82
fairbanks,5861897,US,64.84,-147.72,39.06,100,90,1.81
bambanglipuro,1650434,ID,-7.95,110.28,86.95,66,26,7.52
bagdarin,2027244,RU,54.43,113.6,31.28,62,100,8.19
visby,2662689,SE,57.64,18.3,39.88,69,41,13.87
emerald,2167426,AU,-23.53,148.17,95.0,26,40,6.93
gamba,2400547,GA,-2.65,10.0,79.0,87,97,2.53
san juan,3837213,AR,-31.54,-68.54,69.01,39,1,8.86
seymchan,2121373,RU,62.88,152.43,6.82,86,100,14.99
luwuk,1637001,ID,-0.95,122.79,86.43,68,93,5.3
camacha,2270385,PT,33.08,-16.33,58.24,87,40,6.93
medina,109223,SA,24.47,39.61,77.0,15,13,3.49
rafraf,2467813,TN,37.19,10.18,63.5,93,20,3.36
tuy hoa,1563281,VN,13.08,109.3,85.98,65,81,8.19
christchurch,2192362,NZ,-43.53,172.63,60.53,36,1,17.22
mikuni,1857260,JP,36.22,136.15,60.8,67,75,18.34
narsaq,3421719,GL,60.92,-46.05,26.6,58,80,12.75
edd,338345,ER,13.93,41.69,90.95,51,24,10.76
saint anthony,5044290,US,45.02,-93.22,39.0,48,1,6.93
malanje,2239862,AO,-9.54,16.34,65.12,71,100,1.48
kholodnyy,2124611,RU,62.72,147.95,3.24,78,100,12.82
tilichiki,2120591,RU,60.47,166.1,15.39,91,19,16.24
nova olinda do norte,3393838,BR,-3.89,-59.09,72.41,97,63,1.63
rawson,3839307,AR,-43.3,-65.1,72.77,50,76,15.19
nyurba,2018735,RU,63.28,118.33,18.55,86,98,7.25
terra santa,3386467,BR,-2.1,-56.49,73.67,96,99,4.61
ponta delgada,3372783,PT,37.73,-25.67,59.0,82,40,8.05
staryy oskol,487928,RU,51.3,37.84,42.76,60,41,14.12
carnarvon,2074865,AU,-24.87,113.63,82.4,74,79,11.41
grand gaube,934479,MU,-20.01,57.66,82.09,74,40,17.22
port hawkesbury,6111867,CA,45.62,-61.35,30.83,74,75,5.82
saint-leu,6690297,RE,-21.15,55.28,79.23,69,14,21.92
pontianak,1630789,ID,-0.03,109.33,84.2,74,75,3.36
matay,352628,EG,28.42,30.78,66.25,53,5,14.7
calvinia,3369174,ZA,-31.47,19.78,64.4,21,2,8.05
saryg-sep,1492948,RU,51.5,95.6,48.06,31,34,6.06
batagay-alyta,2027042,RU,67.8,130.41,4.48,79,24,12.03
huambo,3348313,AO,-12.78,15.74,59.54,58,75,2.71
severo-kurilsk,2121385,RU,50.68,156.12,33.3,90,6,13.29
luderitz,3355672,NA,-26.65,15.16,51.8,93,5,3.36
port-cartier,6111696,CA,50.03,-66.87,17.6,67,40,5.82
plettenberg bay,964712,ZA,-34.05,23.37,61.66,73,92,3.94
san andres,3670218,CO,12.58,-81.7,82.4,69,20,10.29
taoudenni,2450173,ML,22.68,-3.98,84.29,24,22,3.91
ust-kuyga,2013921,RU,70.02,135.6,4.84,84,3,4.81
noumea,2139521,NC,-22.28,166.46,81.48,57,20,9.17
daru,2098329,PG,-9.08,143.21,83.84,74,97,10.18
longyearbyen,2729907,SJ,78.22,15.64,26.6,79,40,3.36
zhangye,1785036,CN,38.93,100.45,63.7,16,58,16.28
inirida,3671450,CO,3.87,-67.92,73.36,83,79,1.72
bandarbeyla,64814,SO,9.49,50.81,83.93,63,50,7.36
laibin,1804609,CN,23.7,109.27,81.12,67,99,13.76
ilhabela,3461425,BR,-23.78,-45.36,69.01,73,59,4.92
cabedelo,3404558,BR,-6.98,-34.83,75.2,100,0,2.24
dolores,3435038,AR,-36.31,-57.68,53.47,91,4,6.64
ypsonas,145952,CY,34.69,32.96,70.81,52,0,1.12
ulladulla,2145554,AU,-35.35,150.47,66.33,45,1,8.05
raudeberg,3146487,NO,61.99,5.14,41.41,74,12,4.7
bolivar,4377835,US,37.61,-93.41,32.56,90,57,1.97
asau,686090,RO,46.43,26.4,53.8,50,20,6.93
muriwai beach,2186363,NZ,-36.82,174.45,65.61,82,1,11.45
lebyazhye,1500764,RU,55.27,66.49,53.74,56,44,19.04
lompoc,5367788,US,34.64,-120.46,51.53,87,20,4.7
eureka,5563397,US,40.8,-124.16,51.91,84,31,5.99
road town,3577430,VG,18.42,-64.62,78.01,84,0,10.0
cognac,3024439,FR,45.5,-0.25,53.53,100,90,3.36
nome,5870133,US,64.5,-165.41,35.78,100,90,14.99
kayes,2455517,ML,14.0,-11.0,91.4,26,68,6.93
parabel,1495586,RU,58.7,81.48,51.58,53,99,15.46
marrakesh,2542997,MA,31.63,-8.01,59.0,72,40,4.7
isiro,215771,CD,2.77,27.62,68.92,79,100,3.15
alaca,752278,TR,40.17,34.84,58.87,33,100,4.72
vao,2137773,NC,-22.67,167.48,75.18,67,37,11.07
geraldton,2070998,AU,-28.77,114.6,80.4,47,70,14.99
saskylakh,2017155,RU,71.92,114.08,12.79,87,0,4.47
progreso,3521108,MX,21.28,-89.67,83.35,58,5,17.22
pierre,5767918,US,44.37,-100.35,39.09,44,1,6.93
tefe,3661944,BR,-3.35,-64.71,73.33,96,36,1.48
solnechnyy,2016307,RU,50.72,136.63,49.5,42,9,4.0
fort nelson,5955902,CA,58.81,-122.7,35.6,69,20,2.24
aguimes,2522325,ES,27.91,-15.45,63.36,72,40,3.36
takoradi,2294915,GH,4.88,-1.76,80.76,86,100,10.96
san ramon,5392593,US,37.78,-121.98,53.33,81,90,5.82
verkhoyansk,2013465,RU,67.54,133.38,6.12,85,100,9.33
shimoda,1852357,JP,34.67,138.95,59.56,93,75,17.22
coquimbo,3893629,CL,-29.95,-71.34,55.4,93,0,2.24
ossora,2122389,RU,59.24,163.07,26.47,92,0,8.61
vitim,2013375,RU,59.45,112.56,27.23,83,24,12.95
hualmay,3939761,PE,-11.1,-77.61,69.89,81,97,6.31
santa maria,3450083,BR,-29.68,-53.81,55.62,91,4,3.65
boddam,2655288,GB,57.47,-1.78,41.34,77,90,5.82
popondetta,2088163,PG,-8.75,148.25,85.1,67,73,6.04
balkhash,1525798,KZ,46.84,74.98,66.2,22,0,8.95
pokosnoye,2017842,RU,55.53,101.05,43.36,48,70,10.27
victoria,1819729,HK,22.29,114.16,78.22,70,98,5.01
buala,2109528,SB,-8.14,159.59,82.98,75,97,2.93
salinopolis,3389822,BR,-0.61,-47.36,76.77,88,100,1.21
naze,1855540,JP,28.37,129.48,74.32,50,75,11.41
kruisfontein,986717,ZA,-34.0,24.73,60.4,77,79,6.71
georgetown,1735106,MY,5.41,100.34,91.62,63,20,6.93
waingapu,1622318,ID,-9.66,120.26,86.4,69,93,6.08
yeppoon,2142316,AU,-23.13,150.73,91.4,33,40,5.82
urumqi,1529102,CN,43.8,87.6,66.2,34,40,6.71
fare,4034496,PF,-16.7,-151.02,84.42,62,100,2.24
norman wells,6089245,CA,65.28,-126.83,37.4,64,75,4.7
general pico,3855075,AR,-35.66,-63.76,60.24,50,0,12.1
saint-pierre,935214,RE,-21.34,55.48,78.37,69,20,21.92
del rio,5520076,US,29.36,-100.9,61.83,67,90,4.7
cherskiy,2126199,RU,68.75,161.3,9.43,92,42,11.41
port shepstone,964406,ZA,-30.74,30.45,70.25,64,0,5.46
ola,2122574,RU,59.58,151.28,23.16,95,100,21.07
kabale,233070,UG,-1.25,29.99,61.16,55,100,2.3
batticaloa,1250161,LK,7.71,81.69,89.89,55,40,8.3
qasigiannguit,3420768,GL,68.82,-51.19,26.6,86,100,5.82
okhotsk,2122605,RU,59.38,143.3,23.67,90,97,6.02
guaymas,4005143,MX,27.93,-110.9,68.95,61,0,4.54
arraial do cabo,3471451,BR,-22.97,-42.03,73.13,72,72,9.28
acarau,3408368,BR,-2.89,-40.12,74.84,89,86,0.69
nampula,1033356,MZ,-15.12,39.27,77.0,88,75,5.82
kama,553878,RU,56.31,54.09,38.71,74,100,14.63
george,1002145,ZA,-33.96,22.46,57.2,87,90,6.93
saldanha,3361934,ZA,-33.01,17.94,53.6,76,4,2.24
barcelona,3128760,ES,41.39,2.16,58.6,87,20,4.7
hobyo,57000,SO,5.35,48.53,87.48,62,31,12.48
sinnar,367644,SD,13.57,33.57,88.07,12,52,17.54
bikin,2026696,RU,46.82,134.26,60.78,33,100,2.64
waitati,2179825,NZ,-45.75,170.57,53.04,95,65,6.24
eyl,60019,SO,7.98,49.82,84.25,70,19,11.05
okoneshnikovo,1496329,RU,54.84,75.08,64.31,37,74,18.48
phan thiet,1571058,VN,10.93,108.1,88.5,60,97,10.76
leopold,2160336,AU,-38.18,144.47,59.25,72,90,10.29
quang ngai,1568770,VN,15.12,108.8,85.32,66,70,8.97
alofi,4036284,NU,-19.06,-169.92,78.8,83,24,8.05
esil,1524296,KZ,51.96,66.4,58.51,39,13,15.12
deniliquin,2169068,AU,-35.53,144.97,63.0,47,93,5.01
tromso,6453316,NO,69.65,18.96,33.8,96,90,11.41
bubaque,2374583,GW,11.28,-15.83,77.77,56,60,20.74
aquiraz,3407407,BR,-3.9,-38.39,77.0,88,20,3.36
wyndham,4794814,US,37.7,-77.61,60.48,55,1,12.75
sibolga,1213855,ID,1.74,98.78,88.25,63,95,5.26
sao filipe,3374210,CV,14.9,-24.5,69.08,78,1,21.16
deer lake,5937252,CA,49.17,-57.43,24.4,79,75,4.7
marsaxlokk,2562247,MT,35.84,14.54,60.48,100,20,1.12
samarai,2132606,PG,-10.62,150.67,84.16,72,95,9.24
vestmannaeyjar,3412093,IS,63.44,-20.27,44.85,90,100,31.85
kailua,5847486,US,21.4,-157.74,74.07,57,40,6.93
aykhal,2027296,RU,66.0,111.5,15.8,36,17,11.18
merauke,2082539,ID,-8.47,140.33,85.3,72,73,11.07
coahuayana,4013679,MX,18.73,-103.68,76.05,49,66,3.22
brejo,3404889,BR,-3.68,-42.75,72.55,95,100,0.27
mtwara,877747,TZ,-10.27,40.18,77.0,94,75,13.87
great falls,5655240,US,47.5,-111.3,43.52,39,90,1.66
goure,2444219,NE,13.98,10.27,76.37,14,8,7.23
sao joao da barra,3448903,BR,-21.64,-41.05,71.89,80,95,11.54
adrar,2381972,MR,20.5,-10.07,80.94,27,86,7.29
iqaluit,5983720,CA,63.75,-68.51,1.2,84,75,4.76
havre-saint-pierre,5972291,CA,50.23,-63.6,19.4,57,1,6.93
leninsk-kuznetskiy,1500665,RU,54.66,86.17,53.6,30,3,11.18
tambacounda,2244991,SN,13.75,-13.76,77.63,28,53,7.36
kirakira,2178753,SB,-10.45,161.92,82.54,76,99,0.63
nikolskoye,546105,RU,59.7,30.79,39.58,69,90,15.66
vrangel,2013258,RU,42.73,133.08,49.44,53,98,4.03
ewa beach,5855051,US,21.32,-158.01,73.6,60,75,5.82
san luis,3837056,AR,-33.3,-66.34,63.14,37,0,17.96
oristano,2523962,IT,39.9,8.6,59.0,87,75,4.7
katherine,2068655,AU,-14.47,132.27,98.6,32,40,8.05
okha,2122614,RU,53.57,142.95,29.08,87,93,9.19
sorland,3137469,NO,67.67,12.69,41.0,86,75,9.17
walvis bay,3359638,NA,-22.96,14.51,53.6,93,0,3.36
parrita,3622537,CR,9.52,-84.32,69.8,68,20,12.75
athabasca,5887916,CA,54.72,-113.29,32.65,75,84,11.32
zhangjiakou,2033196,CN,40.81,114.88,61.99,21,100,9.75
darlowo,3100637,PL,54.42,16.41,42.01,44,27,9.53
kutum,371745,SD,14.2,24.67,75.27,14,0,12.66
ahraura,1279219,IN,25.02,83.02,87.8,55,20,4.7
chinsali,918905,ZM,-10.54,32.08,67.44,56,79,10.83
filimonovo,1506834,RU,56.2,95.46,44.02,56,61,8.57
san borja,3905792,BO,-14.82,-66.85,66.51,70,43,2.91
ahipara,2194098,NZ,-35.17,173.17,64.31,86,7,9.01
bereda,3105522,ES,43.27,-7.54,46.99,1,2,3.02
leningradskiy,2123814,RU,69.38,178.42,8.62,94,100,8.84
ranau,1733502,MY,5.95,116.66,82.9,94,40,8.05
bengkulu,1649150,ID,-3.8,102.27,84.7,71,72,5.5
rosarito,3988392,MX,32.33,-117.03,56.89,82,90,8.99
salalah,286621,OM,17.02,54.09,86.0,66,40,6.93
matara,1235846,LK,5.95,80.54,89.47,60,63,8.05
praia da vitoria,3372760,PT,38.73,-27.07,59.0,82,20,11.21
bouar,2387926,CF,5.93,15.6,70.72,69,76,5.86
cidreira,3466165,BR,-30.18,-50.21,63.66,88,15,1.19
san quintin,3984997,MX,30.48,-115.95,58.8,72,14,10.42
kununurra,2068110,AU,-15.77,128.73,102.2,24,40,3.36
pisco,3932145,PE,-13.7,-76.22,68.0,82,18,5.82
san javier,2511366,ES,37.81,-0.84,61.54,100,75,9.17
niquelandia,3456285,BR,-14.47,-48.46,71.02,76,81,2.48
leh,1264976,IN,34.17,77.58,41.02,15,96,4.47
maholi,1264356,IN,27.67,80.47,101.52,12,5,3.76
klaksvik,2618795,FO,62.23,-6.59,41.0,93,0,13.87
kiunga,2093846,PG,-6.12,141.29,94.57,46,98,2.26
beringovskiy,2126710,RU,63.05,179.32,19.85,97,100,22.68
liepaja,457955,LV,56.54,21.04,44.6,75,8,5.82
sulangan,1685422,PH,11.14,123.72,86.13,67,13,7.11
beira,1052373,MZ,-19.84,34.84,80.6,83,40,9.17
san agustin,3988025,MX,20.53,-103.47,68.94,32,40,6.93
imeni poliny osipenko,2023584,RU,52.42,136.49,41.99,59,97,8.84
rzhaksa,499782,RU,52.13,42.03,42.57,59,0,13.65
vredendal,3359736,ZA,-31.67,18.5,65.75,41,0,5.86
lar,1265053,IN,26.2,83.97,101.39,19,4,6.11
bud,4255151,US,39.45,-86.18,35.19,80,90,9.17
asfi,2537881,MA,32.3,-9.24,61.07,79,76,6.76
goderich,5962442,CA,43.75,-81.72,31.98,87,89,6.71
boa vista,3664980,BR,2.82,-60.67,82.4,61,40,8.05
camden,4501019,US,39.78,-74.97,44.91,80,100,1.41
male,1282027,MV,4.17,73.51,89.6,75,20,9.17
buchanan,2278158,LR,5.88,-10.05,81.32,88,99,7.58
russell,4047434,US,32.35,-85.2,57.99,93,1,3.36
pombas,3374351,CV,17.15,-25.02,69.8,73,20,13.87
susehri,739209,TR,40.16,38.09,57.47,33,82,5.19
morondava,1058381,MG,-20.28,44.28,80.55,67,0,6.73
fortuna,5563839,US,40.6,-124.16,50.85,93,90,3.36
ostrovnoy,556268,RU,68.05,39.51,31.21,98,100,13.73
bulgan,2032201,MN,48.81,103.53,50.05,25,26,14.61
tlanalapa,3515399,MX,19.82,-98.6,68.0,49,40,4.7
samana,3492997,DO,19.21,-69.34,74.8,85,15,9.1
matagami,6067747,CA,49.75,-77.63,23.0,79,1,6.93
mariental,3355595,NA,-24.63,17.97,72.25,13,20,7.11
carrboro,4459343,US,35.91,-79.08,61.38,75,97,1.01
vila do maio,3374120,CV,15.13,-23.22,69.8,68,40,13.87
port hedland,2063042,AU,-20.32,118.57,96.8,41,100,12.75
taicheng,1790959,CN,38.73,113.23,60.42,21,100,8.86
winnemucca,5710360,US,40.97,-117.74,32.0,25,1,8.05
yinchuan,1786657,CN,38.47,106.27,57.99,28,99,3.0
muroto,1856392,JP,33.28,134.15,68.0,40,75,12.75
bilibino,2126682,RU,68.05,166.44,7.83,87,71,6.82
arlit,2447513,NE,18.74,7.39,80.65,12,0,4.32
siderno,6540819,IT,38.28,16.3,61.0,76,23,3.0
yerbogachen,2012956,RU,61.28,108.01,23.88,82,74,11.77
hay river,5972762,CA,60.82,-115.8,30.2,92,75,8.05
paamiut,3421193,GL,61.99,-49.67,25.56,93,100,8.23
la rioja,3336897,ES,42.25,-2.5,42.85,100,98,1.12
manokwari,1636308,ID,-0.87,134.08,83.89,73,61,5.26
mehamn,778707,NO,71.04,27.85,34.5,93,100,20.65
kavaratti,1267390,IN,10.57,72.64,89.6,66,20,3.36
fenton,4992612,US,42.8,-83.7,30.58,96,1,3.36
namatanai,2090021,PG,-3.67,152.43,83.5,73,98,8.3
ilo,3938415,PE,-17.64,-71.34,69.53,79,56,7.7
shache,1280037,CN,38.42,77.24,55.8,46,100,4.88
tanout,2439155,NE,14.97,8.89,76.57,13,0,7.11
witu,178093,KE,-2.39,40.44,82.72,80,92,4.5
vostok,2013279,RU,46.49,135.88,49.3,49,100,2.48
fukue,1863997,JP,32.69,128.84,60.8,72,20,11.41
kushima,1895695,JP,31.46,131.23,73.47,29,20,21.92
nokha,1261227,IN,27.6,73.42,94.12,16,81,12.21
paratinga,3455029,BR,-12.69,-43.18,70.27,80,2,1.1
hauge,3153694,NO,58.34,6.28,38.32,83,6,4.9
dakar,2253354,SN,14.69,-17.44,68.0,82,21,17.22
lavrentiya,4031637,RU,65.58,-171.0,21.09,95,100,14.9
linfen,1803567,CN,36.09,111.52,57.56,43,100,10.58
coruripe,3465329,BR,-10.13,-36.18,78.49,82,33,0.78
rio gallegos,3838859,AR,-51.62,-69.22,44.6,65,35,13.87
santa luzia,3450144,BR,-19.77,-43.85,67.15,77,68,4.92
nelidovo,522775,RU,56.22,32.78,35.62,78,90,11.36
natal,3394023,BR,-5.79,-35.21,75.2,100,20,3.36
chardara,1524889,KZ,41.25,67.97,71.31,28,0,3.31
tura,1254046,IN,25.52,90.22,83.73,56,95,5.97
irtyshskiy,1505495,RU,58.33,68.13,50.77,62,71,14.27
wladyslawowo,3081752,PL,54.79,18.4,41.97,45,62,13.8
araouane,2460954,ML,18.9,-3.53,81.34,23,6,4.83
